SectionID,Latitude,Longitude,Altitude,OHEMas,EngFeature,TRDFeature,PWI,Division,Remark,Satellites,ModifiedDate
DURG-BPTP,21.3054,81.35509,247,876/17 ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.3304,81.35550667,246,876/19,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.3496,81.35582667,245,876/21,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.3732,81.35622,243,876/23,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.3921,81.356535,246,876/25,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.4228,81.35704667,241,876/28,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.4472,81.35745333,240,876/30,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.4773,81.357955,242,876/32,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.5103,81.358505,243,876/34,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.5461,81.35910167,239,877/36,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.0785,81.35130833,243,877/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.5756,81.35959333,243,877/2 ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.1109,81.35184833,241,877/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.6076,81.36012667,246,877/4 ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.1444,81.35240667,240,877/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.1717,81.35286167,242,877/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.1965,81.353275,242,877/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.2162,81.35360333,244,877/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.2459,81.35409833,248,877/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.2758,81.35459667,249,877/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.047,81.35078333,243,878/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.0151,81.35025167,238,878/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.9843,81.34973833,237,878/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.9513,81.34918833,237,878/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.9216,81.34869333,238,878/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.8904,81.34817333,237,878/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.8602,81.34767,237,878/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.8312,81.34718667,236,878/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.7964,81.34660667,235,878/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.7659,81.34609833,236,878/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.7374,81.34562333,237,878/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.7153,81.345255,237,878/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6954,81.34492333,238,878/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6773,81.34462167,237,878/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6589,81.344315,236,878/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6425,81.34404167,236,878/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6265,81.343775,237,878/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6133,81.343555,238,878/18  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5983,81.343305,238,879/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5879,81.34313167,238,879/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5771,81.34295167,239,879/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5678,81.34279667,238,879/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5605,81.342675,238,879/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5539,81.342565,238,879/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5492,81.34248667,237,879/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5447,81.34241167,237,879/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5393,81.34232167,236,879/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5332,81.34222,236,879/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.527,81.34211667,236,879/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5201,81.34200167,235,879/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5127,81.34187833,236,879/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5059,81.341765,235,879/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4989,81.34164833,235,879/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4918,81.34153,235,879/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4847,81.34141167,235,879/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4777,81.341295,234,880/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.471,81.34118333,234,880/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4643,81.34107167,235,880/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4579,81.340965,235,880/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4502,81.34083667,235,880/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4437,81.34072833,234,880/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4365,81.34060833,234,880/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4309,81.340515,234,880/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4253,81.34042167,233,880/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4187,81.34031167,233,880/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4117,81.340195,235,880/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4051,81.340085,234,880/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3982,81.33997,234,880/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3902,81.33983667,234,880/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.384,81.33973333,234,880/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.377,81.33961667,234,880/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3701,81.33950167,234,880/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3631,81.339385,232,881/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3557,81.33926167,234,881/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3487,81.339145,234,88/03   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3418,81.33903,235,881/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.335,81.33891667,235,881/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3281,81.33880167,234,881/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3204,81.33867333,230,881/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3135,81.33855833,230,881/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3069,81.33844833,231,881/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3,81.33833333,231,881/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2924,81.33820667,231,880/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2861,81.33810167,231,881/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2792,81.33798667,230,881/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2723,81.33787167,232,881/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.266,81.33776667,232,881/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2583,81.33763833,232,882/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2513,81.33752167,230,882/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2444,81.33740667,231,882/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2377,81.337295,230,882/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2313,81.33718833,231,882/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2243,81.33707167,230,882/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2171,81.33695167,228,882/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2102,81.33683667,229,882/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.204,81.33673333,229,882/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1963,81.336605,231,882/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1893,81.33648833,232,882/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1822,81.33637,231,882/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1754,81.33625667,230,882/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1682,81.33613667,230,882/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.161,81.33601667,230,882/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1538,81.33589667,232,883/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1471,81.335785,232,883/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1416,81.33569333,231,883/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1345,81.335575,230,883/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1273,81.335455,231,883/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1204,81.33534,232,883/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1146,81.33524333,229,883/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1081,81.335135,231,883/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1021,81.335035,229,883/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0953,81.33492167,229,883/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0888,81.33481333,228,883/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0811,81.334685,228,883/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0751,81.334585,227,883/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0695,81.33449167,226,883/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0618,81.33436333,226,883/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.055,81.33425,225,883/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0478,81.33413,228,884/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0414,81.33402333,229,884/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.036,81.33393333,229,884/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0289,81.333815,229,884/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0222,81.33370333,228,884/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0147,81.33357833,230,884/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0075,81.33345833,230,884/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9997,81.33332833,228,884/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9933,81.33322167,227,884/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9858,81.33309667,225,884/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9794,81.33299,228,884/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9725,81.332875,228,884/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9646,81.33274333,227,884/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9588,81.33264667,228,884/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.952,81.33253333,228,884/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9441,81.33240167,237,885/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.937,81.33228333,236,885/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9303,81.33217167,237,885/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9232,81.33205333,234,885/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9167,81.331945,234,885/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.9083,81.331805,235,885/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.901,81.33168333,236,885/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8952,81.33158667,237,885/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.889,81.33148333,235,885/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8826,81.33137667,235,885/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8737,81.33122833,234,885/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8664,81.33110667,234,885/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8609,81.331015,234,885/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.854,81.3309,233,885/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8484,81.33080667,230,885/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8413,81.33068833,230,885/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8377,81.33062833,232,886/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8316,81.33052667,231,886/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8249,81.330415,231,886/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8174,81.33029,231,886/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8118,81.33019667,231,886/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8041,81.33006833,230,886/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7964,81.32994,231,886/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7911,81.32985167,231,886/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7844,81.32974,231,886/09  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7761,81.32960167,232,886/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7697,81.329495,231,886/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7622,81.32937,231,886/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.756,81.32926667,232,886/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7478,81.32913,231,886/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7428,81.32904667,231,886/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7355,81.328925,232,886/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7307,81.328845,229,887/01  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7266,81.32877667,229,887/02  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7197,81.32866167,230,887/03  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7136,81.32856,230,887/04  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7057,81.32842833,231,887/05  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.699,81.32831667,230,887/06  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.6925,81.32820833,230,887/07  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.6867,81.32811167,229,887/08  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.6816,81.32802667,230,887/09  ,,,,RAIPUR,,10,10/04/2024
