SectionID,Latitude,Longitude,Altitude,OHEMas,EngFeature,TRDFeature,PWI,Division,Remark,Satellites,ModifiedDate
R-LAE,21.200258,81.901138,232.000000,29/31   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.200355,81.900570,230.000000,29/29   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.200465,81.899980,238.000000,29/27   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.200557,81.899392,233.000000,29/25   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.200663,81.898802,233.000000,29/23   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.200772,81.898207,233.000000,29/21   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.200867,81.897648,233.000000,29/19   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.200947,81.897147,233.000000,29/17   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201020,81.896627,234.000000,29/15   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201072,81.896098,235.000000,2913    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201118,81.895588,234.000000,29/11   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201153,81.895028,232.000000,29/09   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201182,81.894508,235.000000,29/7    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201215,81.893997,232.000000,29/5    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201237,81.893600,234.000000,29/3    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201260,81.893115,234.000000,29/1    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201273,81.892820,233.000000,28/49   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201297,81.892637,232.000000,28/47   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201300,81.892480,229.000000,28/45   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201305,81.892192,231.000000,28/43   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201325,81.891892,231.000000,28/41A  ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201335,81.891637,232.000000,28/41   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201347,81.891343,233.000000,28/39   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201365,81.891035,234.000000,28/37   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201362,81.890735,235.000000,28/35   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201370,81.890440,236.000000,28/33   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201405,81.890055,233.000000,28/31   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201410,81.889765,234.000000,28/29   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201415,81.889493,231.000000,28/27   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201442,81.889113,233.000000,28/25   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201462,81.888617,236.000000,28/23   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201548,81.888215,238.000000,28/21   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201570,81.887827,231.000000,28/19   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201595,81.887350,234.000000,28/17   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201610,81.886815,236.000000,28/15   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201620,81.886318,236.000000,28/13   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201670,81.885773,233.000000,28/11   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201725,81.885230,228.000000,28/9    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201710,81.884753,230.000000,28/7    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201752,81.884367,231.000000,28/5    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201782,81.883887,232.000000,28/3    ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201837,81.883415,230.000000,27/43A  ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201927,81.882938,233.000000,27/43   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.201997,81.882578,235.000000,27/41   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202042,81.882190,234.000000,27/39   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202140,81.881760,232.000000,27/37   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202225,81.881335,229.000000,27/35   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202303,81.880957,231.000000,27/33   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202438,81.880442,230.000000,27/31   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202553,81.880023,231.000000,27/29   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202663,81.879597,229.000000,27/27   ,,,,R,,10,10-04-2024 12:52:00
R-LAE,21.202773,81.879193,231.000000,27/25   ,,,,R,,10,10-04-2024 12:52:00
