SectionID,Latitude,Longitude,OHEMas
DPH-DURG,22.0545,82.1394,722/MID 
DPH-DURG,22.0546,82.1395,722/1A  
DPH-DURG,22.0541,82.1392,722/3A  
DPH-DURG,22.0537,82.1389,722/5A  
DPH-DURG,22.0532,82.1386,722/7A/1
DPH-DURG,22.0528,82.1383,722/7A  
DPH-DURG,22.0522,82.1379,722/9A  
DPH-DURG,22.0518,82.1376,722/9A/1
DPH-DURG,22.0514,82.1373,722/11A 
DPH-DURG,22.0509,82.1369,722/13A 
DPH-DURG,22.0505,82.1366,722/15A 
DPH-DURG,22.0501,82.1362,722/17A 
DPH-DURG,22.0496,82.1358,722/19A 
DPH-DURG,22.0492,82.1355,722/21A 
DPH-DURG,22.0487,82.1352,722/23A 
DPH-DURG,22.0483,82.1348,722/25A 
DPH-DURG,22.0478,82.1345,722/27A 
DPH-DURG,22.0473,82.1341,722/29A 
DPH-DURG,22.0469,82.1338,723/1A  
DPH-DURG,22.0464,82.1335,723/3A/1
DPH-DURG,22.0459,82.1331,723/3A  
DPH-DURG,22.0455,82.1328,723/5A  
DPH-DURG,22.0452,82.1325,723/7AN 
DPH-DURG,22.0448,82.1323,723/7AN/
DPH-DURG,22.0444,82.1320,723/9AN 
DPH-DURG,22.0441,82.1317,723/11A 
DPH-DURG,22.0436,82.1314,723/13A 
DPH-DURG,22.0431,82.1310,723/15A/
DPH-DURG,22.0426,82.1307,723/15A 
DPH-DURG,22.0421,82.1303,723/17A 
DPH-DURG,22.0417,82.1300,723/19A 
DPH-DURG,22.0412,82.1296,723/21A 
DPH-DURG,22.0407,82.1293,723/23A 
DPH-DURG,22.0403,82.1290,723/25A 
DPH-DURG,22.0398,82.1286,723/27A 
DPH-DURG,22.0394,82.1283,724/1   
DPH-DURG,22.0389,82.1280,724/1A/1
DPH-DURG,22.0384,82.1277,724/3A  
DPH-DURG,22.0380,82.1274,724/5A  
DPH-DURG,22.0377,82.1273,724/7A  
DPH-DURG,22.0374,82.1271,724/7A/1
DPH-DURG,22.0371,82.1269,724/9A  
DPH-DURG,22.0368,82.1268,724/11  
DPH-DURG,22.0363,82.1266,724/11A/
DPH-DURG,22.0359,82.1264,724/13A 
DPH-DURG,22.0355,82.1262,724/15A 
DPH-DURG,22.0350,82.1260,724/19A 
DPH-DURG,22.0345,82.1258,724/19A/
DPH-DURG,22.0341,82.1256,724/21A 
DPH-DURG,22.0337,82.1255,724/21A/
DPH-DURG,22.0332,82.1253,724/23A 
DPH-DURG,22.0327,82.1251,724/27A 
DPH-DURG,22.0324,82.1249,724/29  
DPH-DURG,22.0319,82.1247,724/31N 
DPH-DURG,22.0313,82.1245,725/1   
DPH-DURG,22.0307,82.1242,725/3   
DPH-DURG,22.0301,82.1240,725/5   
DPH-DURG,22.0295,82.1237,725/7   
DPH-DURG,22.0289,82.1234,725/9   
DPH-DURG,22.0283,82.1232,725/11  
DPH-DURG,22.0277,82.1229,725/13  
DPH-DURG,22.0271,82.1227,725/15  
DPH-DURG,22.0266,82.1224,725/17  
DPH-DURG,22.0263,82.1223,725/19  
DPH-DURG,22.0258,82.1221,725/21  
DPH-DURG,22.0253,82.1219,725/23A 
DPH-DURG,22.0247,82.1216,725/25A 
DPH-DURG,22.0242,82.1214,725/29  
DPH-DURG,22.0239,82.1213,725/31  
DPH-DURG,22.0234,82.1210,725/33  
DPH-DURG,22.0229,82.1209,726/1A/1
DPH-DURG,22.0226,82.1207,726/3A/1
DPH-DURG,22.0223,82.1206,726/3A/2
DPH-DURG,22.0219,82.1204,726/5A  
DPH-DURG,22.0215,82.1202,726/5A/1
DPH-DURG,22.0210,82.1201,726/7   
