SECTION,LINE,STATION,SIGNAL NAME,SIGNAL TYPE,OHE FROM,OHE TO
BSP-DPH,UP,BSP,BSP STARTER,STARTER, 718/13, 718/15
BSP-DPH,UP,BSP,BCN YD STARTER,STARTER, 719/21, 719/23
BSP-DPH,UP,BSP,BSP STARTER,STARTER, 721/25, 721/27
BSP-DPH,UP,BSP,BSP ADV STARTER,STARTER, 722/1, 722/1
BSP-DPH,UP,NEUTRAL SECTION,NS,NS,722/9,722/9
BSP-DPH,UP,,AR-01,AUTO,722/29,723/1
DPH-BYL,UP,DPH,DPH HOME,HOME, 723/27,724/1
DPH-BYL,UP,DPH,DPH STARTER,STARTER,725/21,725/23
DPH-BYL,UP,DPH,DPH ADV STARTER,ADV STARTER,726/5,726/9
DPH-BYL,UP,,AR-05,AUTO, 728/1, 728/3
DPH-BYL,UP,,AR-09,AUTO, 729/1, 729/3
DPH-BYL,UP,,AR-13,AUTO, 730/1, 730/3
DPH-BYL,UP,,AR-17,AUTO, 731/3, 731/5
DPH-BYL,UP,,AR-21,AUTO, 732/3, 732/5
BYL-DGS,UP,BYL,BYL HOME,HOME, 732/27, 732/29
BYL-DGS,UP,BYL,BYL STARTER,STARTER, 734/17, 734/19
BYL-DGS,UP,BYL,BYL ADV STARTER,ADV STARTER, 735/5, 735/5
BYL-DGS,UP,,AR-25,AUTO, 735/27, 735/29
BYL-DGS,UP,,AR-29,AUTO, 736/25, 736/27
BYL-DGS,UP,,AR-33,AUTO, 737/25, 737/27
BYL-DGS,UP,,AR-37,AUTO, 738/25, 738/27
DGS-NPI,UP,DGS,DGS HOME,HOME, 739/13, 739/15
DGS-NPI,UP,DGS,DGS STARTER,STARTER, 740/25, 740/27
DGS-NPI,UP,DGS,DGS ADV STARTER,ADV STARTER, 741/9, 741/9
DGS-NPI,UP,,AR-41,AUTO, 741/17, 741/19
DGS-NPI,UP,,AR-45,AUTO, 742/25, 742/27
DGS-NPI,UP,,AR-49,AUTO, 744/3, 744/5
DGS-NPI,UP,,AR-57,AUTO, 745/17, 745/19
DGS-NPI,UP,,AR-61,AUTO, 746/13, 746/15
DGS-NPI,UP,NEUTRAL SECTION,NS,NS,746/26,746/27
DGS-NPI,UP,,AR-65,AUTO, 747/25, 747/27
NPI-BYT,UP,NPI,NPI HOME,HOME, 748/29, 749/1
NPI-BYT,UP,NPI,STARTER,STARTER,750/19,750/21
NPI-BYT,UP,NPI,NPI ADV STARTER,ADV STARTER, 751/1, 751/3
NPI-BYT,UP,,AR-75,AUTO,752/15,752/17
NPI-BYT,UP,,AR-79,AUTO,753/31,753/33
NPI-BYT,UP,,AR-83,AUTO,754/23,754/25
NPI-BYT,UP,,AR-87,AUTO,755/25,755/27
NPI-BYT,UP,,AR-91,AUTO,756/29,756/31
NPI-BYT,UP,,AR-95,AUTO,757/27,757/29
NPI-BYT,UP,,AR-99,AUTO,758/25,758/27
NPI-BYT,UP,,AR-103,AUTO,760/5,760/7
NPI-BYT,UP,,AR-107,AUTO,761/11,761/13
NPI-BYT,UP,,AR-111,AUTO,762/17,762/19
NPI-BYT,UP,NEUTRAL SECTION,NS,NS,763/2,763/2
NPI-BYT,UP,BYT,BYT HOME,HOME, 763/27, 763/29
BYT-HN,UP,BYT,BYT STARTER,STARTER, 765/5, 765/7
BYT-HN,UP,BYT,BYT INT STARTER,INT STARTER, 766/9, 766/11
